date,prev_settlement,low,high,prev_close,limit_up,open,total_turnover,limit_down,close,open_interest,settlement,volume,dominant_id,pos,base_balance,chg,strategy_balance,drawdown,return,empty,long,short
2020-04-02,95.735,95.445,95.805,102.13,97.775,95.725,55507836650.0,93.695,95.495,87900,95.48,54432,T2006,1.0,1.0481861588277261,-0.002715262910552907,1.004046379586545,-0.011346336467183527,-0.0027189559234048802,,95.495,
2020-04-03,95.48,95.115,95.61,101.87,97.515,95.395,67467192700.0,93.445,95.125,87297,95.2,66326,T2006,1.0,1.0441249108171888,-0.003874548405675693,1.0001561532872936,-0.015176922942990001,-0.003882073913267945,,95.125,
2020-04-07,95.2,95.435,96.425,101.5,97.23,95.48,96498982850.0,93.17,95.93,85337,95.97,94341,T2006,1.0,1.0529608693266013,0.008462549277266751,1.008620024019449,-0.006842809124005478,0.008426942648006301,,95.93,
2020-04-08,95.97,95.835,96.315,102.305,98.015,95.97,63027459000.0,93.925,96.3,86045,96.13,61566,T2006,1.0,1.0570221173371384,0.00385697904722182,1.0125102503187002,-0.0030122226481992254,0.003849559974223547,,96.3,
2020-04-09,96.13,95.785,96.185,102.675,98.18,96.175,59958908450.0,94.08,96.005,83528,95.935,58585,T2006,1.0,1.0537840952746829,-0.0030633437175493494,1.0094085834044322,-0.006066338892423251,-0.0030680453591999256,,96.005,
2020-04-10,95.935,95.57,96.02,102.38,97.98,96.02,78709622050.0,93.89,95.82,84878,95.75,77049,T2006,1.0,1.0517534712694143,-0.0019269829696370033,1.0074634702548064,-0.007981632130326544,-0.0019288419899037982,,95.82,
2020-04-13,95.75,95.555,95.95,102.195,97.79,95.765,54333259250.0,93.71,95.855,84533,95.87,53193,T2006,1.0,1.0521376433785192,0.000365268211229397,1.0078314646344653,-0.007619279355588149,0.00036520151703668105,,95.855,
2020-04-14,95.87,95.785,96.05,102.23,97.91,95.925,51921935850.0,93.83,95.84,83565,95.855,50759,T2006,1.0,1.051972998188903,-0.00015648635960563428,1.0076737527574686,-0.007774573401904683,-0.00015649860487350052,,95.84,
2020-04-15,95.855,95.895,96.155,102.215,97.895,95.935,57512878050.0,93.815,96.055,84127,96.095,56154,T2006,1.0,1.0543329125734044,0.0022433222036728484,1.009934289661088,-0.005548692071368211,0.002240809713266835,,96.055,
2020-04-16,96.095,96.165,96.38,102.43,98.14,96.2,46602433200.0,94.05,96.215,83226,96.21,45407,T2006,1.0,1.0560891279293123,0.0016657123522980655,1.0116165496823857,-0.00389222224399266,0.0016643265921162502,,96.215,
2020-04-17,96.21,95.93,96.3,102.59,98.26,96.22,61852405250.0,94.16,95.935,82156,96.005,60354,T2006,1.0,1.0530157510564733,-0.002910149145143648,1.0086725946451143,-0.0067910444419002625,-0.0029143918624598805,,95.935,
2020-04-20,96.005,95.65,96.08,102.31,98.05,95.955,54583283450.0,93.96,95.75,82746,95.705,53405,T2006,-1.0,1.0509851270512045,-0.001928389013394538,1.0067274814954885,-0.008706337679803555,-0.0019302507493071002,,,95.75
2020-04-21,95.705,95.695,95.91,102.125,97.745,95.755,53422820500.0,93.665,95.805,81003,95.785,52287,T2006,-1.0,1.051588826079798,0.0005744125326372362,1.0061492046131673,-0.009275749182964033,-0.0005745775707189384,,,95.805
2020-04-22,95.785,95.875,96.165,102.18,97.825,95.91,51460770650.0,93.745,96.07,78696,96.09,50249,T2006,1.0,1.0544975577630207,0.00276603517561691,1.0033661605212882,-0.012016127310060631,-0.0027698677198461598,,96.07,
2020-04-23,96.09,95.945,96.845,102.445,98.135,96.075,82514231150.0,94.045,96.71,77916,96.745,80223,T2006,1.0,1.0615224191866526,0.006661809097533,1.0100503943376058,-0.005434367358758907,0.006639717307224644,,96.71,
2020-04-24,96.745,96.63,97.11,103.085,98.805,96.845,77433525300.0,94.685,96.94,75141,96.835,75000,T2006,1.0,1.0640469787607705,0.00237824423534283,1.0124525408653449,-0.0030690473762599035,0.002375420688358148,,96.94,
2020-04-27,96.835,96.545,96.755,103.315,98.895,96.65,46377615200.0,94.775,96.73,72128,96.69,45013,T2006,1.0,1.0617419461061413,-0.0021662884258303317,1.0102592766443657,-0.005228687360280815,-0.002168638222774329,,96.73,
2020-04-28,96.69,96.695,96.93,103.105,98.75,96.75,45625739150.0,94.63,96.885,68669,96.87,44219,T2006,1.0,1.0634432797321771,0.0016023984286157589,1.011878114521755,-0.0036346673720748512,0.001601115958090127,,96.885,
2020-04-29,96.87,96.86,97.11,103.26,98.93,96.925,42008882500.0,94.81,97.095,66639,97.015,40650,T2006,1.0,1.0657483123868063,0.002167518191670492,1.0140713787427342,-0.00147502738805394,0.0021651725130374206,,97.095,
2020-04-30,97.015,96.545,97.015,103.47,99.08,96.995,48349582250.0,94.95,96.565,62139,96.62,46892,T2006,1.0,1.059930849020361,-0.005458571502137133,1.0085359976135961,-0.00692554734772588,-0.005473523941020652,,96.565,
2020-05-06,96.62,96.22,96.74,102.94,98.675,96.595,43291795550.0,94.565,96.26,60385,96.285,42113,T2006,1.0,1.0565830634981614,-0.0031584942784651515,1.0053505424355074,-0.010062167324518145,-0.0031634928495993826,,96.26,
2020-05-07,96.285,95.715,96.22,102.635,98.335,96.135,64812263000.0,94.235,95.73,58079,95.825,63299,T2006,1.0,1.050765600131716,-0.005505921462705232,0.9998151613063694,-0.015512687284189974,-0.005521134916701536,,95.73,
2020-05-08,95.825,95.405,95.945,102.105,97.865,95.815,76789652950.0,93.785,95.765,53172,95.79,75236,T2006,-1.0,1.051149772240821,0.00036561161600334735,1.0001807053431993,-0.015152747286853119,0.00036554479636266416,,,95.765
2020-05-11,95.79,95.17,95.755,102.14,97.83,95.69,65498042250.0,93.75,95.26,53697,95.29,64331,T2006,-1.0,1.0456067175237365,-0.0052733253276249226,1.0054549835888873,-0.009959327325279044,0.005259470035250709,,,95.26
2020-05-12,95.29,95.295,95.665,101.635,97.32,95.43,63466520350.0,93.26,95.52,47496,95.54,62297,T2006,-1.0,1.0484605674770868,0.002729372244383743,1.0027107226637024,-0.012661516858088473,-0.0027331037721734486,,,95.52
2020-05-13,95.54,95.22,95.66,101.895,97.575,95.54,53673612550.0,93.505,95.28,45258,95.285,52708,T2006,-1.0,1.045826244443225,-0.002512562814070307,1.0052300963387368,-0.01018076690044556,0.002509411605425707,,,95.28
2020-05-14,95.995,94.84,95.385,101.655,97.31,95.215,70421925350.0,93.28,95.32,51727,95.255,69851,T2009,-1.0,1.0462652982822018,0.0004198152812762146,1.004808085383095,-0.01059630814020196,-0.0004199034283827203,,,95.32
2020-05-15,95.255,95.075,95.565,100.985,97.27,95.485,77745478600.0,93.24,95.455,55583,95.47,76984,T2009,-1.0,1.0477471049887492,0.0014162819974821161,1.0033849937808423,-0.011997582777225402,-0.001417285872789393,,,95.455
2020-05-18,95.47,94.865,95.325,101.12,97.49,95.295,81008368550.0,93.45,94.945,61034,94.94,80439,T2009,-1.0,1.0421491685417923,-0.00534283170080152,1.0087459109337231,-0.0067188521420190606,0.005328609411218932,,,94.945
2020-05-19,94.94,94.59,95.19,100.61,96.95,94.72,83987671050.0,92.93,95.035,65791,95.1,83497,T2009,-1.0,1.0431370396794906,0.0009479172152297988,1.0077897033189565,-0.007660400441636739,-0.0009483667728712236,,,95.035
2020-05-20,95.1,95.045,95.43,100.7,97.115,95.135,68923883900.0,93.085,95.265,65217,95.335,68304,T2009,-1.0,1.0456615992536085,0.002420160993318321,1.0053506899895162,-0.010062022032612972,-0.0024230943166338465,,,95.265
2020-05-21,95.335,95.24,95.55,100.93,97.355,95.275,63216073500.0,93.315,95.375,64312,95.42,62529,T2009,-1.0,1.0468689973107952,0.0011546738046501748,1.0041898378832983,-0.011205077484000237,-0.0011553409540571568,,,95.375
2020-05-22,95.42,95.57,96.065,101.04,97.44,95.575,82623355050.0,93.4,96.06,65668,95.94,81408,T2009,-1.0,1.0543877943032764,0.00718217562254253,0.9969775701092479,-0.018306776272188463,-0.007208091609212278,,,96.06
2020-05-25,95.94,95.52,95.915,101.725,97.97,95.885,61313971300.0,93.91,95.55,65105,95.56,60508,T2009,1.0,1.0487898578563195,-0.005309181761399162,1.002270705240996,-0.013094788513483557,0.005295137742148314,,95.55,
2020-05-26,95.56,95.0,95.815,101.215,97.58,95.485,85608599600.0,93.54,95.13,68663,95.165,84801,T2009,1.0,1.044179792547061,-0.00439560439560438,0.9978651197234533,-0.017432833399138592,-0.0044052934679163795,,95.13,
2020-05-27,95.165,95.035,95.33,100.795,97.18,95.145,76665660150.0,93.15,95.26,71036,95.195,76012,T2009,1.0,1.0456067175237365,0.0013665510354252675,0.9992287533360261,-0.016090105220245232,0.0013656181543487433,,95.26,
2020-05-28,95.195,95.25,95.65,100.925,97.21,95.335,80116270250.0,93.18,95.515,72839,95.565,79241,T2009,1.0,1.0484056857472148,0.0026768843166071754,1.0019035731145343,-0.013456292253954727,0.002673307842900762,,95.515,
2020-05-29,95.565,95.295,95.705,101.18,97.585,95.565,68297660950.0,93.545,95.32,73275,95.385,67505,T2009,1.0,1.0462652982822018,-0.0020415641522274486,0.9998581226956751,-0.015470384522294545,-0.0020436509850737753,,95.32,
2020-06-01,95.385,95.045,95.53,100.985,97.405,95.485,60022266400.0,93.365,95.14,74112,95.105,59484,T2009,-1.0,1.0442895560068053,-0.0018883759966428215,0.9979700146167282,-0.017329546616146718,-0.0018901612264058856,,,95.14
2020-06-02,95.105,94.63,95.035,100.805,97.12,95.015,83696727400.0,93.09,94.635,75978,94.815,83262,T2009,-1.0,1.0387465012897206,-0.005307967206222397,1.0032672067271071,-0.012113564075061478,0.005293929600481463,,,94.635
2020-06-03,94.815,94.23,94.74,100.3,96.82,94.545,113397000000.0,92.81,94.71,75391,94.64,113223,T2009,-1.0,1.0395697272378024,0.0007925186241874993,1.0024720987807394,-0.012896482474114124,-0.0007928328330941391,,,94.71
2020-06-04,94.64,94.36,94.71,100.375,96.645,94.545,63945767050.0,92.635,94.44,76325,94.44,63813,T2009,-1.0,1.0366061138247076,-0.002850807728856486,1.0053299539879066,-0.010082440137169746,0.0028467518829657814,,,94.44
2020-06-05,94.44,94.13,94.56,100.105,96.44,94.38,83916619850.0,92.44,94.18,78300,94.195,83945,T2009,-1.0,1.0337522638713572,-0.002753070732740226,1.008097698460978,-0.007357127075285574,0.0027492879747203634,,,94.18
2020-06-08,94.195,94.06,94.59,99.845,96.19,94.17,65989468650.0,92.2,94.51,77930,94.51,65959,T2009,-1.0,1.0373744580429176,0.003503928647271115,1.0045653960560925,-0.010835276874236022,-0.003510081782890628,,,94.51
2020-06-09,94.51,94.355,94.69,100.175,96.51,94.475,62362268000.0,92.51,94.385,76982,94.435,62231,T2009,-1.0,1.0360024147961144,-0.0013226113638767911,1.0058940456646739,-0.00952699637068366,0.001321737483917817,,,94.385
2020-06-10,94.435,94.26,94.575,100.05,96.435,94.48,67526612150.0,92.435,94.46,76929,94.38,67476,T2009,-1.0,1.0368256407441963,0.000794617788843377,1.005094744362297,-0.010314043838736686,-0.0007949336649034596,,,94.46
2020-06-11,94.38,94.47,94.875,100.125,96.38,94.53,66401074800.0,92.38,94.775,76689,94.78,66178,T2009,-1.0,1.0402831897261402,0.003334744865551631,1.001743009824142,-0.013614393999553998,-0.003340317519579357,,,94.775
2020-06-12,94.78,94.875,95.095,100.44,96.785,95.035,67761550450.0,92.775,94.99,73004,94.995,67312,T2009,1.0,1.0426431041106414,0.002268530730677787,0.9994705250221143,-0.015852040059064154,-0.0022711077446103335,,94.99,
2020-06-15,94.995,94.995,95.365,100.655,97.005,95.145,66594638900.0,92.985,95.12,73393,95.24,66016,T2009,1.0,1.0440700290873168,0.0013685651121171372,1.000838365513249,-0.014505169495927839,0.0013676294804353848,,95.12,
2020-06-16,95.24,94.475,94.765,100.785,97.255,94.635,75360551600.0,93.225,94.495,76824,94.525,75157,T2009,1.0,1.0372098128533012,-0.006570647603027724,0.9942622093058711,-0.020980508741775594,-0.006592329335525568,,94.495,
2020-06-17,94.525,94.37,94.61,100.16,96.525,94.44,61773388800.0,92.525,94.4,79609,94.46,61683,T2009,1.0,1.0361670599857307,-0.0010053441981057176,0.9932626335623497,-0.02196476030714445,-0.0010058498955457856,,94.4,
2020-06-18,94.46,94.375,94.8,100.065,96.46,94.72,74049672400.0,92.46,94.53,80034,94.47,73885,T2009,1.0,1.037593984962406,0.001377118644067643,0.9946304740534841,-0.020617889744008244,0.0013761712858377719,,94.53,
2020-06-19,94.47,94.285,94.575,100.195,96.47,94.54,66384874250.0,92.47,94.555,80970,94.43,66307,T2009,-1.0,1.0378683936117667,0.00026446630699261675,0.9948935203017794,-0.0203588761741742,0.00026443134194343204,,,94.555
2020-06-22,94.43,94.275,94.565,100.22,96.43,94.49,47243775650.0,92.43,94.285,83856,94.36,47200,T2009,-1.0,1.0349047801986717,-0.0028554809370209266,0.9977344197833667,-0.01756152961996782,0.0028514117957265453,,,94.285
2020-06-23,94.36,93.98,94.445,99.95,96.36,94.23,82225719400.0,92.36,94.245,86019,94.155,82356,T2009,-1.0,1.0344657263596948,-0.00042424563822440753,0.9981577042590662,-0.017144734384085147,0.00042415567148806226,,,94.245
2020-06-24,94.155,94.27,94.54,99.91,96.15,94.315,50719304450.0,92.16,94.48,82467,94.495,50684,T2009,-1.0,1.0370451676636847,0.0024935009814843756,0.99566879704382,-0.019595484953555564,-0.0024966149325604684,,,94.48
2020-06-29,94.495,94.39,94.68,100.145,96.495,94.465,48549894250.0,92.495,94.525,81881,94.58,48449,T2009,-1.0,1.0375391032325338,0.00047629127857740094,0.9951945686794365,-0.020062443073550096,-0.00047640474129739173,,,94.525
2020-06-30,94.58,94.325,94.655,100.19,96.58,94.48,55201151450.0,92.58,94.65,82466,94.61,55126,T2009,-1.0,1.038911146479337,0.0013224014810897522,0.9938785219078423,-0.021358313950205043,-0.0013232766255416419,,,94.65
2020-07-01,94.61,94.515,94.735,100.315,96.615,94.615,48787631150.0,92.605,94.585,83678,94.57,48642,T2009,1.0,1.0381976839909992,-0.0006867406233492801,0.9945610586635107,-0.020686240948691648,0.0006865049249103564,,94.585,
2020-07-02,94.57,94.465,94.665,100.25,96.57,94.63,50885782650.0,92.57,94.61,83189,94.62,50770,T2009,1.0,1.03847209264036,0.00026431252312741904,0.9948239336063304,-0.020427396058103398,0.0002642775987263136,,94.61,
2020-07-03,94.62,94.275,94.545,100.275,96.625,94.495,60189059600.0,92.615,94.3,85687,94.325,60152,T2009,1.0,1.0350694253882882,-0.0032766092379241663,0.9915642843153678,-0.02363707270139681,-0.003281989076941117,,94.3,
2020-07-06,94.325,93.255,94.135,99.965,96.32,94.105,87343708100.0,92.33,93.27,92805,93.405,87906,T2009,-1.0,1.0237637890346303,-0.010922587486744462,0.9807338366712021,-0.03430148219362972,-0.010982676900639705,,,93.27
